,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
87,29,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,256.0,2,999,0,nonexistent,no
88,28,services,single,basic.9y,unknown,yes,no,telephone,may,fri,294.0,2,999,0,nonexistent,no
89,34,technician,married,professional.course,no,yes,no,cellular,aug,thu,82.0,4,999,0,nonexistent,no
90,40,services,married,unknown,unknown,yes,no,telephone,jun,mon,99.0,26,999,0,nonexistent,no
91,46,blue-collar,single,basic.4y,unknown,yes,no,telephone,jul,wed,558.0,6,999,0,nonexistent,no
92,25,self-employed,single,university.degree,no,no,no,telephone,jun,mon,178.0,7,999,0,nonexistent,no
93,39,blue-collar,divorced,basic.9y,no,yes,no,telephone,jun,wed,187.0,1,999,0,nonexistent,no
94,37,admin.,married,basic.6y,no,no,no,telephone,may,mon,130.0,1,999,0,nonexistent,no
95,33,services,single,basic.6y,unknown,no,no,telephone,may,thu,89.0,7,999,0,nonexistent,no
96,38,technician,single,basic.9y,no,yes,no,cellular,may,mon,29.0,5,999,0,nonexistent,no
97,41,services,single,high.school,no,yes,no,cellular,may,mon,417.0,2,999,0,nonexistent,no
98,32,admin.,single,university.degree,no,yes,no,cellular,aug,thu,217.0,2,999,0,nonexistent,no
99,32,services,married,high.school,unknown,no,no,cellular,may,mon,642.0,3,10,1,success,yes
100,28,admin.,single,university.degree,no,no,no,cellular,oct,thu,72.0,2,999,0,nonexistent,no
101,40,management,divorced,university.degree,no,no,no,cellular,aug,fri,183.0,1,999,0,nonexistent,no
102,40,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,446.0,7,999,0,nonexistent,no
103,53,technician,divorced,professional.course,no,no,no,cellular,aug,fri,75.0,1,999,0,nonexistent,no
104,33,technician,married,professional.course,no,yes,no,telephone,jun,fri,350.0,1,999,0,nonexistent,no
105,37,technician,single,high.school,unknown,yes,yes,telephone,may,tue,,4,999,0,nonexistent,no
106,37,technician,single,university.degree,no,no,no,telephone,may,fri,132.0,1,999,0,nonexistent,no
107,35,admin.,married,university.degree,no,no,yes,cellular,apr,fri,262.0,3,999,1,failure,yes
108,41,services,married,high.school,no,no,no,telephone,may,mon,139.0,1,999,0,nonexistent,no
109,32,admin.,single,professional.course,no,yes,no,telephone,may,mon,16.0,11,999,0,nonexistent,no
110,35,admin.,married,high.school,no,yes,no,cellular,may,tue,124.0,2,999,0,nonexistent,no
111,86,retired,married,professional.course,no,no,no,telephone,dec,wed,343.0,2,999,0,nonexistent,yes
112,51,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,561.0,9,999,0,nonexistent,yes
113,54,management,married,university.degree,no,yes,no,cellular,apr,thu,121.0,1,999,0,nonexistent,no
114,52,unknown,married,professional.course,unknown,yes,yes,cellular,jun,tue,135.0,1,999,0,nonexistent,no
115,49,admin.,married,high.school,no,yes,no,cellular,nov,fri,164.0,1,999,0,nonexistent,no
116,35,admin.,single,university.degree,no,no,yes,telephone,may,mon,126.0,2,999,0,nonexistent,no
117,40,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,824.0,2,999,0,nonexistent,no
118,33,technician,married,basic.9y,no,yes,no,telephone,may,mon,215.0,1,999,0,nonexistent,no
119,35,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,thu,34.0,1,999,0,nonexistent,no
120,27,blue-collar,married,basic.9y,no,no,yes,cellular,jul,thu,655.0,1,999,0,nonexistent,no
121,28,admin.,single,unknown,no,no,no,telephone,jun,wed,643.0,1,999,0,nonexistent,no
122,35,management,married,university.degree,no,yes,no,cellular,nov,fri,152.0,1,999,0,nonexistent,no
123,43,blue-collar,married,unknown,unknown,no,no,cellular,may,mon,715.0,6,999,0,nonexistent,no
124,47,admin.,single,university.degree,no,yes,no,cellular,jun,mon,243.0,4,999,0,nonexistent,yes
125,30,admin.,single,university.degree,no,no,no,cellular,jul,mon,64.0,3,999,0,nonexistent,no
126,44,blue-collar,married,basic.6y,no,yes,no,cellular,nov,fri,358.0,3,999,0,nonexistent,no
127,29,admin.,single,high.school,unknown,yes,no,cellular,aug,mon,102.0,4,999,0,nonexistent,no
128,54,admin.,married,university.degree,no,no,no,cellular,jun,wed,77.0,2,999,0,nonexistent,no
129,57,technician,married,high.school,no,no,yes,cellular,may,mon,161.0,1,999,0,nonexistent,no
130,47,services,married,high.school,unknown,yes,no,telephone,jun,wed,551.0,1,999,0,nonexistent,no
131,47,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,655.0,4,999,0,nonexistent,no
132,37,blue-collar,married,basic.9y,no,no,yes,cellular,apr,mon,116.0,3,999,0,nonexistent,no
133,41,blue-collar,married,basic.6y,no,yes,no,cellular,nov,wed,264.0,2,999,0,nonexistent,no
134,27,retired,single,basic.9y,no,no,no,cellular,jul,thu,121.0,1,999,0,nonexistent,no
135,37,entrepreneur,single,basic.9y,no,yes,no,cellular,may,tue,222.0,1,2,1,success,no
136,52,unemployed,married,university.degree,no,yes,no,cellular,nov,fri,211.0,7,999,1,failure,no
137,55,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,233.0,1,999,2,failure,no
138,37,technician,single,university.degree,no,no,no,cellular,jun,tue,654.0,1,999,1,failure,yes
139,34,technician,married,high.school,no,yes,no,cellular,aug,thu,85.0,3,999,0,nonexistent,no
140,26,admin.,single,high.school,no,yes,no,telephone,apr,wed,170.0,3,999,0,nonexistent,yes
141,49,unemployed,married,basic.4y,unknown,yes,no,telephone,jul,tue,275.0,4,999,0,nonexistent,no
142,50,services,single,high.school,no,yes,no,cellular,nov,fri,1195.0,2,999,0,nonexistent,no
143,49,blue-collar,married,basic.4y,no,no,no,telephone,may,fri,122.0,1,999,0,nonexistent,no
144,38,blue-collar,divorced,high.school,no,yes,yes,cellular,nov,wed,291.0,1,999,0,nonexistent,no
145,62,blue-collar,married,basic.4y,no,no,no,cellular,nov,mon,123.0,1,999,1,failure,no
146,28,student,single,university.degree,no,yes,no,cellular,apr,tue,93.0,3,11,2,failure,no
147,45,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,191.0,1,999,0,nonexistent,no
148,29,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,79.0,6,999,0,nonexistent,no
149,46,blue-collar,married,basic.4y,unknown,no,yes,telephone,may,fri,28.0,8,999,0,nonexistent,no
150,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247.0,2,999,0,nonexistent,no
151,32,admin.,married,professional.course,no,yes,no,cellular,oct,tue,169.0,1,999,0,nonexistent,no
152,34,technician,married,professional.course,unknown,no,no,cellular,jul,thu,61.0,1,999,0,nonexistent,no
153,53,blue-collar,divorced,high.school,no,yes,no,cellular,apr,fri,0.0,3,999,0,nonexistent,no
154,51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212.0,1,999,0,nonexistent,no
155,30,admin.,married,high.school,no,yes,no,cellular,nov,thu,167.0,1,999,1,failure,no
156,32,admin.,single,university.degree,no,no,no,telephone,jul,thu,14.0,1,999,0,nonexistent,no
157,37,admin.,married,university.degree,no,yes,no,cellular,jul,tue,46.0,3,999,0,nonexistent,no
158,37,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,95.0,3,999,0,nonexistent,no
159,44,services,divorced,high.school,no,no,no,cellular,may,mon,903.0,4,999,0,nonexistent,yes
160,46,management,married,university.degree,unknown,no,no,telephone,may,wed,16.0,2,999,0,nonexistent,no
161,29,admin.,divorced,high.school,no,yes,no,cellular,aug,thu,119.0,2,999,0,nonexistent,no
162,31,blue-collar,single,high.school,no,yes,no,cellular,jun,tue,160.0,1,999,0,nonexistent,no
163,40,admin.,married,basic.9y,no,no,no,telephone,jun,thu,185.0,1,999,0,nonexistent,no
164,41,admin.,married,high.school,no,no,no,telephone,jun,mon,56.0,3,999,0,nonexistent,no
165,38,admin.,married,high.school,unknown,yes,yes,cellular,nov,tue,65.0,2,999,0,nonexistent,no
166,36,admin.,single,university.degree,no,yes,no,cellular,nov,wed,152.0,1,999,0,nonexistent,no
167,34,admin.,single,high.school,no,yes,no,telephone,may,wed,49.0,1,999,0,nonexistent,no
168,37,admin.,married,university.degree,no,yes,yes,cellular,may,fri,364.0,2,999,0,nonexistent,no
169,51,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,61.0,1,999,0,nonexistent,no
170,30,technician,divorced,high.school,no,no,no,cellular,aug,thu,494.0,4,999,0,nonexistent,no
171,65,retired,married,basic.4y,no,no,no,cellular,oct,fri,176.0,5,999,0,nonexistent,no
172,24,student,single,high.school,no,no,no,cellular,jun,tue,253.0,1,999,0,nonexistent,no
173,54,services,married,basic.4y,no,no,no,cellular,aug,wed,211.0,1,999,0,nonexistent,no
174,37,management,married,university.degree,unknown,no,yes,cellular,may,thu,195.0,1,999,0,nonexistent,no
175,36,blue-collar,single,basic.6y,unknown,no,no,cellular,may,tue,141.0,1,999,1,failure,no
176,34,technician,married,professional.course,no,no,no,cellular,may,fri,83.0,2,999,1,failure,no
177,40,management,single,high.school,no,no,no,cellular,jul,wed,94.0,4,999,0,nonexistent,no
178,34,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,191.0,3,999,0,nonexistent,no
179,35,blue-collar,married,basic.9y,unknown,yes,yes,cellular,may,wed,500.0,1,999,0,nonexistent,no
180,29,admin.,married,university.degree,no,no,no,cellular,dec,mon,77.0,3,999,1,failure,no
181,41,admin.,single,university.degree,unknown,yes,no,cellular,aug,thu,566.0,3,999,0,nonexistent,yes
182,47,technician,married,university.degree,no,yes,no,cellular,nov,fri,322.0,1,999,0,nonexistent,no
183,42,entrepreneur,married,high.school,no,no,no,cellular,aug,fri,332.0,2,999,0,nonexistent,no
184,35,technician,married,university.degree,no,yes,yes,cellular,mar,wed,138.0,1,999,1,failure,no
185,36,self-employed,married,basic.9y,no,yes,no,cellular,nov,thu,317.0,2,999,0,nonexistent,no
186,33,technician,single,university.degree,no,yes,yes,cellular,nov,fri,710.0,1,999,0,nonexistent,yes
187,38,blue-collar,single,university.degree,unknown,no,no,telephone,jun,fri,13.0,5,999,0,nonexistent,no
188,40,entrepreneur,married,university.degree,unknown,no,no,telephone,jun,thu,85.0,3,999,0,nonexistent,no
189,35,admin.,married,university.degree,no,yes,no,cellular,oct,thu,126.0,2,999,0,nonexistent,no
190,56,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,119.0,5,999,0,nonexistent,no
191,24,student,single,basic.9y,no,yes,no,cellular,apr,tue,345.0,1,999,0,nonexistent,no
192,28,management,single,university.degree,no,yes,no,cellular,may,tue,193.0,2,999,0,nonexistent,no
193,51,admin.,married,basic.6y,no,no,yes,cellular,may,mon,228.0,2,999,1,failure,no
194,48,unemployed,married,professional.course,no,yes,no,cellular,sep,mon,315.0,2,999,0,nonexistent,yes
195,23,services,single,high.school,no,no,no,telephone,may,fri,557.0,2,999,0,nonexistent,no
196,30,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,30.0,1,999,0,nonexistent,no
197,46,admin.,married,high.school,no,yes,no,cellular,may,fri,39.0,1,999,1,failure,no
198,33,admin.,single,high.school,no,no,no,cellular,jul,mon,31.0,1,999,0,nonexistent,no
199,39,technician,married,professional.course,no,no,no,telephone,jun,tue,83.0,2,999,0,nonexistent,no
200,38,self-employed,divorced,basic.9y,no,yes,no,telephone,may,tue,95.0,3,999,0,nonexistent,no
201,59,admin.,divorced,basic.9y,no,yes,no,cellular,may,thu,8.0,6,999,1,failure,no
202,30,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,243.0,2,999,0,nonexistent,no
203,32,unemployed,divorced,high.school,no,yes,no,cellular,nov,wed,351.0,1,999,0,nonexistent,no
204,33,blue-collar,divorced,basic.9y,no,no,no,telephone,may,tue,127.0,2,999,0,nonexistent,no
205,57,blue-collar,married,basic.4y,no,yes,no,cellular,may,tue,145.0,1,999,0,nonexistent,no
206,43,services,married,basic.6y,no,no,yes,cellular,jul,thu,124.0,8,999,0,nonexistent,no
207,37,blue-collar,married,professional.course,no,yes,no,telephone,jun,thu,168.0,1,999,0,nonexistent,no
208,37,technician,married,professional.course,no,no,no,cellular,aug,mon,163.0,5,999,0,nonexistent,no
209,45,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,567.0,2,999,0,nonexistent,no
210,31,services,married,high.school,no,no,no,cellular,nov,wed,190.0,1,999,1,failure,no
211,38,housemaid,married,basic.6y,no,yes,no,cellular,aug,thu,256.0,3,999,0,nonexistent,no
212,40,admin.,married,university.degree,unknown,yes,no,cellular,nov,wed,562.0,1,999,0,nonexistent,no
213,56,technician,married,university.degree,unknown,yes,no,telephone,may,tue,240.0,3,999,0,nonexistent,no
214,55,retired,married,professional.course,no,yes,no,cellular,aug,thu,181.0,3,999,0,nonexistent,no
215,52,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,160.0,1,999,0,nonexistent,no
216,34,blue-collar,married,professional.course,no,no,yes,cellular,nov,tue,91.0,1,999,0,nonexistent,no
217,53,technician,married,professional.course,no,no,no,cellular,mar,mon,261.0,4,999,0,nonexistent,no
218,30,services,married,high.school,no,no,no,cellular,may,mon,286.0,3,999,0,nonexistent,no
219,54,entrepreneur,married,basic.4y,unknown,yes,no,cellular,nov,mon,310.0,1,999,0,nonexistent,no
220,29,blue-collar,married,basic.4y,no,yes,no,cellular,aug,fri,98.0,1,999,1,failure,no
221,30,technician,married,professional.course,no,yes,yes,cellular,jul,fri,292.0,2,999,0,nonexistent,no
222,45,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,wed,294.0,1,999,0,nonexistent,no
223,38,technician,single,university.degree,no,no,no,telephone,may,tue,1015.0,1,999,0,nonexistent,yes
224,26,blue-collar,single,high.school,no,no,no,cellular,may,fri,49.0,3,999,0,nonexistent,no
225,41,management,married,unknown,unknown,yes,no,telephone,may,wed,149.0,2,999,0,nonexistent,no
226,35,management,divorced,university.degree,no,no,no,cellular,aug,mon,472.0,3,999,0,nonexistent,yes
227,56,management,married,university.degree,no,no,no,cellular,apr,tue,72.0,5,999,0,nonexistent,no
228,31,services,married,high.school,unknown,yes,no,telephone,jun,tue,170.0,1,999,0,nonexistent,no
229,54,blue-collar,married,basic.4y,no,yes,yes,cellular,aug,mon,484.0,3,999,0,nonexistent,no
230,37,self-employed,married,professional.course,no,yes,yes,cellular,nov,mon,1024.0,1,5,1,success,yes
231,35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,820.0,1,999,0,nonexistent,yes
232,34,management,married,university.degree,no,yes,no,cellular,nov,thu,91.0,4,999,0,nonexistent,no
233,25,student,single,university.degree,no,yes,yes,cellular,jun,thu,393.0,2,999,0,nonexistent,yes
234,56,housemaid,divorced,basic.4y,no,yes,no,cellular,nov,wed,414.0,1,999,1,failure,yes
235,56,services,married,high.school,no,no,no,cellular,aug,mon,75.0,7,999,0,nonexistent,no
236,55,retired,married,basic.4y,no,no,no,cellular,jun,tue,553.0,2,3,4,failure,no
237,51,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,wed,451.0,1,999,0,nonexistent,no
238,29,admin.,married,university.degree,no,no,yes,telephone,jun,thu,105.0,1,999,0,nonexistent,no
239,51,admin.,married,basic.6y,no,yes,no,cellular,nov,tue,122.0,1,999,0,nonexistent,no
240,48,management,married,university.degree,no,no,no,telephone,jun,fri,29.0,3,999,0,nonexistent,no
241,50,admin.,married,high.school,no,no,no,telephone,jun,wed,276.0,1,999,0,nonexistent,no
242,29,admin.,married,university.degree,no,no,yes,cellular,jun,tue,347.0,3,5,1,success,yes
243,39,blue-collar,married,unknown,unknown,yes,no,cellular,apr,thu,307.0,1,999,0,nonexistent,no
244,55,retired,married,professional.course,no,no,yes,cellular,aug,mon,190.0,1,999,0,nonexistent,no
245,30,technician,married,university.degree,no,no,no,cellular,aug,fri,65.0,2,999,0,nonexistent,no
246,25,admin.,married,university.degree,no,yes,no,telephone,jun,wed,149.0,8,999,0,nonexistent,no
247,26,housemaid,married,basic.4y,no,no,no,cellular,jul,thu,695.0,1,999,0,nonexistent,no
248,30,technician,married,high.school,no,yes,yes,cellular,aug,tue,92.0,1,999,0,nonexistent,no
249,52,self-employed,single,university.degree,unknown,yes,no,telephone,may,thu,169.0,2,999,0,nonexistent,no
250,33,admin.,divorced,university.degree,no,no,no,telephone,jun,fri,92.0,3,999,0,nonexistent,no
251,29,technician,married,high.school,no,no,no,telephone,aug,mon,133.0,5,999,0,nonexistent,no
252,60,retired,divorced,basic.4y,no,yes,no,cellular,jul,tue,600.0,1,999,0,nonexistent,yes
253,55,housemaid,married,basic.4y,no,yes,no,cellular,apr,mon,139.0,1,999,0,nonexistent,no
254,32,services,single,professional.course,no,yes,no,telephone,may,thu,561.0,1,999,0,nonexistent,no
255,47,technician,divorced,high.school,no,yes,no,cellular,jul,thu,43.0,3,999,0,nonexistent,no
256,43,unemployed,married,high.school,no,yes,no,cellular,jul,mon,745.0,3,999,0,nonexistent,no
257,56,management,divorced,high.school,no,no,no,telephone,may,tue,218.0,1,999,0,nonexistent,no
258,33,services,single,basic.9y,no,yes,no,cellular,apr,thu,483.0,2,999,0,nonexistent,no
259,43,technician,single,professional.course,unknown,yes,no,cellular,jul,tue,265.0,1,999,0,nonexistent,no
260,47,entrepreneur,married,professional.course,no,yes,no,cellular,may,mon,69.0,1,999,0,nonexistent,no
261,52,technician,married,university.degree,no,no,no,telephone,may,fri,244.0,5,999,0,nonexistent,no
262,43,admin.,married,high.school,no,yes,no,telephone,jun,fri,44.0,2,999,0,nonexistent,no
263,36,technician,single,unknown,no,no,no,cellular,nov,fri,158.0,1,999,0,nonexistent,no
264,27,admin.,married,high.school,no,yes,no,telephone,jun,wed,46.0,1,999,0,nonexistent,no
265,32,self-employed,single,professional.course,no,unknown,unknown,cellular,aug,tue,151.0,7,999,0,nonexistent,no
266,37,technician,married,professional.course,no,yes,no,cellular,apr,fri,372.0,1,999,0,nonexistent,no
267,34,technician,married,university.degree,no,yes,no,cellular,may,thu,69.0,1,999,0,nonexistent,no
268,28,admin.,single,university.degree,no,no,no,telephone,jun,wed,156.0,3,999,0,nonexistent,no
269,58,management,married,university.degree,no,no,no,cellular,may,mon,182.0,1,999,0,nonexistent,no
270,47,technician,divorced,professional.course,unknown,no,no,telephone,may,wed,348.0,3,999,0,nonexistent,no
271,46,blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,239.0,1,999,0,nonexistent,no
272,28,services,married,basic.9y,no,no,no,cellular,jul,wed,191.0,1,999,0,nonexistent,no
273,56,self-employed,married,university.degree,no,yes,no,telephone,jun,thu,390.0,15,999,0,nonexistent,no
274,68,retired,married,professional.course,no,no,no,cellular,oct,thu,76.0,1,999,1,failure,no
275,31,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,wed,148.0,1,999,0,nonexistent,no
276,36,admin.,single,university.degree,unknown,yes,no,cellular,aug,mon,159.0,2,999,0,nonexistent,no
277,50,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,72.0,3,1,2,success,no
278,36,management,single,university.degree,no,yes,no,cellular,jul,wed,118.0,5,999,0,nonexistent,no
